文物名称,时代,图片链接,分类,种类,文物简介
皇太极皂靴,清,http://www.dpm.org.cn/Uploads/Picture/dc/18060.jpg,服饰,靴、鞋、袜,皇太极皂靴，清皇太极，长32厘米，高60厘米。清宫旧藏。清代满族男子多穿靴，这是为了适应北方严寒的气候及游猎骑射之需。此靴是清入关前皇太极穿用过的靴子，以乌皮制成，厚底，高靿，方头。其形制简单，装饰质朴，但十分坚硬结实，具有很强的实用性。靴上系黄条，墨书：“太宗文皇帝撒林皮皂靴一双”，表明是皇太极所用之靴。此靴年代久远，纪年明确，是故宫博物院藏品中极为稀少的清入关之前的服饰实物之一，对研究清入关前的服饰制度和习俗具有重要价值，弥足珍贵。
黄色八团彩云金龙妆花纱袷袍,清,http://www.dpm.org.cn/Uploads/Picture/dc/18390.jpg,服饰,男吉服,黄色八团彩云金龙妆花纱袷袍，清初期，身长118厘米，两袖通长144厘米，袖口宽12厘米，下摆宽102厘米，前后裾长23厘米，左右裾长20厘米。清宫旧藏。此袍形式为圆领，右襟大衽，四开裾，素接袖，马蹄形袖端。黄色云龙纹实地纱面，黄色四合如意云纹实地纱里。镶深蓝色勾莲纹漳绒领、袖和蓝色素面实地纱接袖。这种服装上镶漳绒领、袖边的做法与清代中后期镶石青色缎领、袖边的做法迥然相异，也可谓是清代早期帝后服装的装饰特点之一。袍身以妆花技法织彩云金龙纹八团，其中前胸后背及两肩正龙各一团，下襟前后行龙各二团。这种饰八团龙纹样、四开裾、没有中接袖形制的明黄色袍是清代初期皇帝穿用的龙袍，直至乾隆朝清代帝王服饰全面定型化之后，它才退出了皇帝的龙袍系列，在清代服饰发展史上消失。
湖色团花事事如意织金缎绵马褂,清,http://www.dpm.org.cn/Uploads/Picture/dc/16078.jpg,服饰,男便服,湖色团花事事如意织金缎绵马褂，清，身长73厘米， 两袖通长120厘米，袖口宽34厘米，下摆宽80厘米，左右裾长5厘米，后裾长8厘米。清宫旧藏。马褂圆立领，对襟，平袖，左右及后开裾。马褂在湖色冰梅纹暗花缎地上织金柿蒂形开光柿子和如意纹样，谐寓“事事如意”。褂外镶石青万字织金缎边，褂内饰雪青色素纺丝绸里。缀银镀金团龙纹币式扣四，石青素缎盘花扣和铜鎏金錾花扣各一。这件马褂为皇帝的便服。作品成功地运用了衣服颜色与暗花纹样的搭配效果，使其上的织金花纹仿佛置于冰雪之上熠熠生辉，充分显示出清代服饰装饰之设色构图的高超水平。
冬朝冠,清,http://www.dpm.org.cn/Uploads/Picture/dc/18037.jpg,服饰,冠、带佩饰,冬朝冠，清，高30厘米，冠顶直径26厘米，冠口直径16厘米。清宫旧藏。此冠为圆形卷檐式，顶缀红绒，沿镶黑色薰貂皮，里衬红布。冠顶正中铜镀金累丝顶子分2层，每层凤1只，各承托大珍珠1颗，冠顶端饰粉红碧玺1颗。顶子四周满缀红绒，红绒上立桦树皮镀银凤5只，后饰金翟1只。每凤饰猫眼石各1颗和小珍珠各30颗（其中头顶1、眼2、下颌1、背4、翅2、尾20颗）。冠后部垂青色丝绦一束、黑色薰貂皮护领一张，并垂珠五行二就，垂珠的中部缀两块各镶嵌6粒珍珠的金累丝青金石结，末端缀红珊瑚坠。从顶子和凤的数目来看，这应是皇帝的妃子冬季戴的朝冠，但是“五行二就”的形式却是皇后或皇太后朝冠所享用的等级标志。
元青绸缀纳纱二方补绣鹭鸶补服,清,http://www.dpm.org.cn/Uploads/Picture/dc/17315.jpg,服饰,男礼服,元青绸缀纳纱二方补绣鹭鸶补服，清，身长122厘米，两袖通长170厘米，袖口宽21厘米，下摆宽102厘米，左右裾长58厘米，后裾长65厘米，补子21.5厘米×23.5厘米。清宫旧藏。补服圆领，对襟，平袖端，裾四开。左右裾上端有铜镀金光素扣各1枚，后裾下端有扣鼻左右各1枚，便于骑坐时将后襟掀起。对襟有铜镀金光素扣4枚。补服为元青色团寿字暗花绸，织造细密。胸前背后各缀一纳纱绣鹭鸶补子，补子以元青素纱为地，用正一丝串针法绣海水、云和卷草纹，其上以斜缠针、施毛针、套针等绣鹭鸶、红日。配色以蓝白为主，明黄色绣边框，显示出官服的端庄大方。此件为清朝文六品官服。
皇帝行服冠,清,http://www.dpm.org.cn/Uploads/Picture/dc/18057.jpg,服饰,冠、带佩饰,皇帝行服冠，清初期，冠口直径30厘米，加冠缘直径36厘米，高20厘米。冠用玉草编结而成，衬大红色四合如意云纹织金缎里，顶缀朱纬。冠沿垂蓝色云纹暗花纱风帘，仅露出面部。冠后缘下垂石青色绦红珊瑚背云两条，冠内垂石青色系带两根。风帘正前有青金石小扣二，左侧有青金石小扣一 ，两侧还有牙质小扣各二，这些扣可用于调节风帘的松紧。此冠形制较为特别，在故宫博物院所藏清代冠帽中仅此一件，也不见于《大清会典》记载。但根据冠上置有可遮挡风沙日晒的风帘、用玉草编成、冠沿镶石青色云纹织金缎片金边及衬大红色织金缎里等形制、用料和工艺特征推断，其年代属清代早期，应是皇帝春夏和秋季出行时戴用的一种行服冠。
黄熏皮行裳,清,http://www.dpm.org.cn/Uploads/Picture/dc/18042.jpg,服饰,男行服,"黄熏皮行裳，清，长96厘米，腰围宽90厘米，下摆宽102厘米。清宫旧藏。行裳是下裳，围系于腰际而垂下,是行服的一部分。行服是清代皇帝的服装种类之一，包括行褂、行袍和行裳三种，主要穿用于巡幸和狩猎等出行之时。其中行褂和行袍是上衣，行褂长与坐齐，袖长及肘，行袍衣长过膝，行褂穿于行袍之外。此行裳黄色兽皮面，月白色素纺丝绸里，以正中开裾而分为左右两幅。两幅的上方用一条石青色横幅布缝连，横幅布两端有长带可围系于腰际。行裳里子的中部各置一条横向的蓝色丝带，每条丝带的靠近开裾一端各有一枚铜镀金素面扣，尾端缝四个扣袢，这种设计可调节行裳围于腿部时的松紧，十分巧妙。在清代，皇帝、王公和文武品官的行裳形状相同，可根据季节不同而相应以袷、毡、皮等质料为表。此件以皮为表，是皇帝冬季穿用的行裳。此行裳拴有黄条，墨书：“黄熏皮都什希一件”。根据《大清会典》规定：“皇帝行裳，冬用鹿皮或黑狐为表”，这件皮行裳为皇帝所用，因此“黄熏皮”应是鹿皮。“都什希”，则是“行裳”的满语音译。"
明黄暗团龙里双喜皮马褂,清,http://www.dpm.org.cn/Uploads/Picture/dc/17279.jpg,服饰,男常服,明黄暗团龙里双喜皮马褂，清，身长68厘米，两袖通长144厘米，袖口宽32厘米，下摆宽80厘米，左右裾长13厘米，后裾长17厘米。清宫旧藏。马褂圆领，对襟，平袖端。明黄色暗团龙江绸里，铜镀金錾花扣5枚。马褂为貂皮面，通身镶银鼠皮和熏貂皮拼接的双喜字46个。拼皮工艺精巧，字体工整清晰，皮毛顺滑平整，俨然天成。衣襟、袖端在貂皮与明黄色衬里中间另镶貂皮出锋，皮板仅1.5mm宽，细薄如绸，而出锋毛长约1厘米，工艺精妙绝伦。马褂江绸里的织造亦工丽细致。此件马褂为皇帝大婚期间穿着。
黄缎妆花云龙纹女绵褂,清,http://www.dpm.org.cn/Uploads/Picture/dc/16603.jpg,服饰,女吉服,黄缎妆花云龙纹女绵褂，清早期，身长110厘米，两袖通长125厘米，袖口宽20厘米，下摆宽110厘米，左右裾长52厘米，前后裾长53厘米。清宫旧藏。褂圆领，对襟，平袖端。褂在黄色缎地上饰圆金线妆花金龙8条，片金勾边，间饰五彩行云，下摆织福山寿海及杂宝纹。褂内衬月白色福寿三多纹暗花绫里。内施薄绵。襟缀铜镀金扣4枚。此为清早期皇后吉服，织造工艺精致，龙纹富于立体感，图案晕色虽较简单但不失鲜丽，金彩尤其夺目。按清制会典，龙褂应为石青色，黄色龙褂仅见于清初。
黄色暗团龙江绸玄狐皮端罩,清,http://www.dpm.org.cn/Uploads/Picture/dc/16216.jpg,服饰,男礼服,黄色暗团龙江绸玄狐皮端罩，清，身长120厘米，两袖通长84厘米，袖口宽28厘米，下摆宽112厘米，左右开裾长57厘米，后开裾长55厘米，垂带长66厘米。清宫旧藏。端罩圆领，对襟，平袖，左右及后开裾。领口用石青素缎沿边，后背垂明黄色丝绦。左右开裾处垂明黄色绸带各二，带下端直而锐。缀铜镀银光素扣五。衣内衬明黄色暗团龙江绸里。这件端罩以玄狐皮为之，毛色纯正，锋长而松软。它既贵为皇帝的礼服，显示着皇帝至尊的服饰等级，又是冬季御寒的最佳服装，颇有中国古代“大裘而冕”的余韵。
明黄江绸黑狐皮端罩,清,http://www.dpm.org.cn/Uploads/Picture/dc/16237.jpg,服饰,男礼服,明黄江绸黑狐皮端罩，清，身长134厘米，两袖通长176厘米，袖口24厘米，下摆125厘米，开裾长74厘米。清宫旧藏。端罩圆领，对襟，平袖，后开裾，长至膝下，皮毛朝外，左右垂明黄色带各二。端罩上半部为黑狐皮，毛长而具有光泽；下半部为貂皮，其毛尖均为白色，似一根根银针，是上等的貂皮料。内衬明黄色暗花江绸里。此件端罩皮毛手感柔软，保暖性强，是清代皇帝冬季穿在朝袍外面的礼服。此为礼服中等级最尊者，一般只在十一月朔（初一）至上元（正月十五）穿用，清代皇帝在冬至圜丘坛祭天等最重大的典礼时即身着黑狐皮端罩。端罩原有黄条，上书“黑狐皮端罩一件”。
漳绒山水图轴,清,http://www.dpm.org.cn/Uploads/Picture/dc/12886.jpg,织绣画,漳绒,漳绒山水图轴，清，纵62厘米，横60厘米。这是一幅具有清末岭南派笔墨风格的漳绒风景画，描绘隆冬时节远山近湖萧索的景色，灰蒙蒙的天空及湖畔的枯树寒禽更增添了冷寂的气氛。在表现山水风景的笔韵时，将画稿所绘物象处的绒圈割开，呈绒状，再用笔墨渲染，使之有较强的质感，其折射的光线与未割绒处有明显的不同。其它地方则保留绒圈，淡施笔墨，并用丝线润雅的光泽表现天空的辽阔。此图轴割绒精妙细致，画面层次清晰，具有西方古典油画的特点，准确地表达了岭南派的笔墨风格。
顾绣花鸟草虫图册,清,http://www.dpm.org.cn/Uploads/Picture/dc/13703.jpg,织绣画,顾绣,顾绣花鸟草虫图册，清，每开长26厘米，宽22厘米。此图册为花鸟草虫图与仿董其昌诗跋合璧的作品，共6帧，分别为：海棠蚱蜢、杏林春燕、石竹蜻蜓、丽春蝴蝶、桃花黄鹂、梅花翠鸟。此图册除运用套针、斜缠针、抢针、平针等顾绣常见针法绣花草外，还以一些特别的针法绣制细部，如用冰纹针绣蜻蜓翅膀，如纱如雾，惟妙惟肖，以滚针绣蚱蜢和蝴蝶之须，线条轻细且有动感，其丝细过于发，针微如毫，可谓针神技绝。又以施毛针绣鸟羽，丝缕走向逼真精妙，仿佛飞鸟入画，所绣蝶翅也宛如翅粉犹存。图左仿董其昌诗跋用墨丝绣成，与绣画合璧，风雅别致，相得益彰。每开均绣有“露香园”、“虎头”朱印。此图针法穷极巧变，平齐工整，妙手天成。配色自然写实，“生气廻动，五色灿烂，有过于黄筌父子之写生”。顾绣作为江南闺阁绣，擘丝之纤细，针法之繁复，晕色之精妙，气韵之传神，为世人所称颂，明代大书画家董其昌亦曾赞叹：“技至此乎！”
汪奎纳纱桃源图卷,清,http://www.dpm.org.cn/Uploads/Picture/2017/04/05/s58e443574fa41.jpg,织绣画,纳纱,汪奎纳纱桃源图卷，清，纵33厘米，横185厘米。此绣品用纳纱技法表现《桃花源记》故事题材。画面为长景图卷：溪流环绕、丛林围抱的村舍草庐前，三两人物或扶老携幼，或相向揖让。庐舍内，慵懒的小猫匍匐于窗台。树丛间，雄鸡引颈高鸣。小桥上，一离船登岸的戴笠之人持桨前行，迎面一犬昂首翘尾，相向而吠。远处山峦迤逦，亭台楼阁掩映于苍郁的树丛中。天空浮云流逸，群鸟轻翔。一派碧水青山、恬淡闲适的世外田园景致。卷尾纳绣署款：“桃源图，拟新罗山人笔意。吴中汪奎。”纳绣 “汪奎之印”和“砚香”二朱印。绣品运用斜一丝串绣制，即以素纱为底，按纱格经纬点斜向绣，每点一针，集聚绣成。设色轻淡，勾中有皴，颇具绘画中小青绿山水之笔法。绣面细密平服，人物和动物的神态刻画精细入微，准确生动，是纳纱中的精品之作。新罗山人即清代著名画家、扬州八怪之一华嵒，他于花鸟、人物和山水画均造诣精深，对后世画坛影响深远。东晋陶渊明《桃花源记》诗文问世后，历代文人墨客多以此为题材吟诗作画，如唐韩愈作《桃花源》诗，宋赵伯驹作《桃源图》，明仇英作《桃源仙境图》，清吴伟业作《桃源图》卷等。
广绣丹凤朝阳图裱片,清,http://www.dpm.org.cn/Uploads/Picture/dc/13357.jpg,织绣画,广绣,广绣丹凤朝阳图裱片，清，纵67厘米，横52厘米。图绣梧桐树下一凤凰立于高石之上引颈向日。画中旭日初升，梧桐垂荫，牡丹、玉兰、荷花、菊花、红蓼等百花齐放，凤凰、仙鹤、黄鹂、翠鸟、鸳鸯、喜鹊等百鸟争鸣。所绣物象灵动活泼，栩栩如生，一派富丽热烈的景象。此图意象出自《诗经·大雅·卷阿》：“凤凰鸣矣，于彼高冈。梧桐生矣，于彼朝阳。”喻稀世瑞祥之兆。画幅采用大红、紫红、金黄、驼黄、草绿、墨绿、湖蓝、深棕、葡灰和浅褐色等近20种色线，运用直针、咬针、编织针、勒针、扭针等多种针法绣制。构图饱满热烈，疏繁有致，色差强烈，光彩夺目，针法多变，丝理分明，呈现出典型的广绣艺术特色，是技艺精湛的广绣杰作。
广绣百鸟争鸣图,清,http://www.dpm.org.cn/Uploads/Picture/dc/12888.jpg,织绣画,广绣,广绣百鸟争鸣图，清，纵52厘米，横47厘米。此图米色素绫地，满绣孔雀、鸳鸯、鹌鹑、蜂鸟、八哥、鹦鹉等17种鸟和3只羊以及荷花、牡丹等数种花卉。在技法上采用了套针、齐针、顶针、滚针、施毛针、鸡毛针、扎针、打籽针、刻鳞针、松针、网针、接针等十余种针法，交错变幻，将禽类羽毛一根根、花木小草一叶叶地绣出，运丝讲究鸟羽的丝理走向，追摹真实物象的质感，尤其是鸡毛、孔雀羽更是针神艺绝，逼真写实，达到了出神入化的艺术境界。此图全面体现了广绣的各类特点，针工比北方的鲁绣细腻，构图较江南的闺阁细绣繁丽。整幅几乎不留空白，禽类千姿百态，绝无雷同，寓意吉祥的羊亦栩栩如生，具有西洋画写实的神韵，配色华美富丽而不失雅致。
广绣山水渔读图,清,http://www.dpm.org.cn/Uploads/Picture/dc/12892.jpg,织绣画,广绣,广绣山水渔读图，清，纵44厘米，横35厘米。山水渔读是历代画家经常选用的绘画题材。此图以工笔将远山近景层次鲜明地表现出来：恬静古朴的茅屋农舍，庄严肃穆的古刹，清幽的江水渔帆，迷蒙的远山云蔼，天地之间，渔父书生各得其趣，表现了一派宁静安闲、典雅风流的意境。此图景致宏富，构图繁而不乱，每一局部景色均可独立成图。此图绣工除采用广绣的铺针、直针、洒插针等传统针法外，还使用竹织针绣茅屋顶，以施毛针、网针绣乌篷船的篷，以方格网针绣墙面，以扭针绣云纹、水纹等，细微之处一丝不苟，均以最适合的独特针法真实地表现出来，这是广绣针法繁复、穷其巧变的特点。全图以棕、褐、驼、香色为主色调，配以深绿、浅绿、蓝色等，典雅古朴而又不乏鲜丽明快，体现了广绣的配色特点。图上方题有唐人诗句“飞泉挂碧峰”和绣工王田的题字，并绣“王田”朱文印。
广绣鹤鹿同春图,清,http://www.dpm.org.cn/Uploads/Picture/dc/12889.jpg,织绣画,广绣,广绣鹤鹿同春图，清，纵68厘米，横52厘米。鹤鹿同春是广绣中常见的题材。此图拟画稿时即将西洋画的透视技巧与中国传统的工笔绘画相结合，以色调的明暗表现景物的立体感，以透视法表现场景的远近，双鹿结构准确，笔法工丽，颇具清代宫廷画师郎士宁的绘画风格。在绣工上，作者追摹原画稿风格，以非常细腻的套针、施毛针针法按照鹿在动态中肌肉、皮毛的纹路运针理丝，巧妙地利用丝线特有的光泽体现其立体感，将鹿的皮毛表现得异常真实，其动感活灵活现。用施毛针、套针、撕针、钉针、刻鳞针表现其余的禽鸟，如鹤、鸡羽毛的丝理和轻盈光亮的质感，又以洒插针、风车针、套针、齐针、扭针等多种针法绣山石、树木、花草，并如实地表现出远近层次和光线的明暗。此绣品构图饱满，层次丰富，针脚平齐细腻，配色鲜丽华美，晕色自然写实，准确地传达了画稿的西洋画透视写实的技法和传统工笔画工谨、细致的风格，同时也通过刺绣这一再创作过程，巧妙地利用丝质的特点和精美绝伦的针法，覃精运巧，达到了夺翰墨之光的艺术效果。
堆绫尊胜佛母像唐卡,清,http://www.dpm.org.cn/Uploads/Picture/dc/8677.jpg,织绣画,堆绫,堆绫尊胜佛母像唐卡，清乾隆，画心纵61.2厘米，横45厘米。清宫旧藏。佛母慈眉善目，三头八臂，结跏趺坐于莲花座上。头戴五叶莲花冠，身披庄严天衣和璎珞，佩戴耳环、项圈、臂钏、手镯、脚镯等。左右各四臂，其右四手，一手施与愿印，一手持四股金刚杵，一手执箭，一手托化佛；其左四手，一手屈拇指，掌上扬，作金刚舞菩萨印相，一手持弓，一手托宝瓶，一手执金刚索。座下饰海水宝珠等。画面上部堆绫饰日、月及祥云。画幅四边镶折枝花纹锦及白绳牙边，背面衬黄色绸里。此像画面以蓝缎为地，采用红、粉红、黄、杏黄、墨绿、深蓝、浅蓝、月白和湖色缎按画稿纹样剪裁成各式绫片，贴堆成尊胜佛母像，肃穆而庄严。堆绫中略加刺绣，设色于浓淡之间又显清新典雅。其工艺之精湛，堪称乾隆时期堆绫之代表作。尊胜佛母像轴背面钉白绫，墨书汉、满、蒙、藏四体文字，汉文：“乾隆二十六年二月初三钦命章嘉呼图克图认看，各色缎堆绫等尊胜佛母一轴，番称纳穆尔嘉尔麻，清称爵尤鸟墨施厄特厄赫厄墨拂斋希，蒙古称乌期尼喀嵋迎雅。”
黄色云龙妆花纱织金袷龙袍,清早期,http://www.dpm.org.cn/Uploads/Picture/dc/18387.jpg,服饰,男吉服,黄色云龙妆花纱织金袷龙袍，清初期，身长112厘米，两袖通长136厘米，袖口宽12厘米，下摆宽100厘米，前后裾长31厘米，左右裾长18厘米。清宫旧藏。此袍圆领，右衽大襟，裾四开，石青色素接袖，马蹄形袖端。黄色云龙妆花纱为面，黄色八宝纹暗花直径纱为里。全身以妆花和织金技法织制装饰纹样，其中前胸后背及两肩饰正龙各一，下襟前后行龙各二，里襟正龙一，领边行龙五，两袖端行龙各一。下摆饰海水江崖。通身点缀红、黄、蓝、绿和粉五色流云。此袍提花清晰，纹样生动，用金光亮，织工精细，代表了清初织造工艺的高超水平。其四开裾、无中接袖、色用明黄和以正行龙纹装饰等特点，显示出它是皇帝所穿用的龙袍，面料用妆花纱，则表明其为夏天穿用。
黄色八团彩云金龙妆花纱单袍,清早期,http://www.dpm.org.cn/Uploads/Picture/dc/18393.jpg,服饰,女吉服,黄色八团彩云金龙妆花纱单袍，清初期，身长138厘米，两袖通长184厘米，袖口宽14厘米，下摆宽134厘米，左右裾长85厘米。清宫旧藏。袍圆领，右衽，马蹄形袖端。在黄色云龙纹直径纱地上以妆花技法织彩云金行龙八团，另在两袖端织行龙各一。领边镶蓝色团龙纹织金缎边和赤金白银二色边各一道。此袍形制和纹样均十分独特：其领边宽度极窄，仅0.7厘米，而通常领宽约10厘米；接袖和马蹄袖均为明黄色，与衣色同，而通常所用为石青色，与衣色异；无女服典型的标志——中接袖，但其裾前后不开而左右两开及开裾高达85厘米等形制又呈现出典型的女服特征；前后下襟的两团龙装饰部位很高，紧邻胸部，远离下摆边，而通常为紧邻下摆边；全身所饰八团纹样均为行龙，这样的纹样较通常正、行龙各四团的纹样等级更低。这样的八团龙袍在故宫藏清代服饰中唯此一件，弥足珍贵。其独特的形制不见于清代康熙、雍正、乾隆、嘉庆和光绪五朝《大清会典》等有关服饰典制之记载，综合考察其纹样、形制和工艺特征，它应是服饰制度尚未完全定型化的清初顺治时期后妃穿用的吉服之一种。
石青色四团龙织金缎袷衮服,清早期,http://www.dpm.org.cn/Uploads/Picture/dc/16127.jpg,服饰,男礼服,石青色四团龙纹织金缎袷衮服，清早期，身长87厘米，两袖通长110厘米，袖口宽20厘米，下摆宽85厘米，左右开裾长39厘米，后开裾长30厘米，前后团花直径25厘米，两肩团花直径24厘米。清宫旧藏。衮服圆领，对襟，平袖，左右及后开裾。采取二色金线的装饰方法在石青色缎地上织四团金云龙纹样。衮服内衬月白色水纹暗花绫里，襟缀铜鎏金錾花扣四。此为清代早期皇帝穿用的礼服。此褂捻金匀细，二色金的晕色使纹样层次分明，织造工整，风格严谨庄重。
红色纱地满绣回纹平金云龙袷褂,清早期,http://www.dpm.org.cn/Uploads/Picture/dc/16044.jpg,服饰,男吉服,红色纱地满绣回纹平金云龙袷褂，清早期，身长107厘米，两袖通长117厘米，袖口宽18厘米，下摆宽96厘米，左右开裾长45厘米，后开裾长50厘米。清宫旧藏。褂圆领，对襟，平袖，左右及后开裾。此袷褂以二至四色晕在红色纱地上用明黄色加捻衣线满纳回纹地，其上再用平针、缠针、钉线、套针、平金等针法加绣彩云金龙及海水江崖纹饰。褂内衬月白色暗云纹实地纱里，襟缀铜鎏金錾花扣四。此为清代吉服。褂之纹样规整稚拙，设色浓重，绣工精细不露绣地。通过多重绣线和水路的细致勾勒，使纹样显现出浅浮雕般的效果，风格粗放有力。
石青纱妆花云蟒纹单朝袍,清早期,http://www.dpm.org.cn/Uploads/Picture/dc/16712.jpg,服饰,男礼服,石青纱妆花云蟒纹单朝袍，清早期，身长133厘米，两袖通长211厘米，袖口宽17厘米，下摆宽141厘米，左裾长75厘米。清宫旧藏。袍圆领，右衽，马蹄袖，下裳为襞积式。袍面料为石青色妆花纱，上衣于柿蒂纹中织四爪过肩蟒纹及海水纹，腰帷、披领及袖端饰行龙及海水江崖纹。襞积饰蟒、灵芝、云蝠及海水江崖纹饰。通身镶褐色片金缘，饰有杂宝、勾莲、云纹、葫芦等纹样，葫芦纹内有“游源”、“松昌”等字样。披领衬红色织金缎里，花纹里有“游联”字样。石青实地纱素接袖。襟缀铜镀金光素扣6枚。此为清早期礼服。朝袍色彩鲜丽，纹饰粗犷豪放。蟒纹用捻金线织成，捻金不完全将芯包住，等距露出红芯，使之有赤圆金的效果。织金缘部位全部变色，与金色不足有关。附黄条，其上墨书：“织石青直径地纱片金边单朝衣一件。”
黄缎织八团金龙绵袍,清早期,http://www.dpm.org.cn/Uploads/Picture/dc/16638.jpg,服饰,男吉服,黄缎织八团金龙绵袍，清早期，身长113厘米，两袖通长130厘米，袖口宽11厘米，下摆宽96厘米，前后裾长22厘米，左右裾长18厘米。清宫旧藏。袍圆领，右衽，马蹄袖，裾四开。袍面料为五枚缎纹组织，正反面图案相同，凸凹相反。正面暗花云纹凸起，缎地上团龙纹以片金线勾边，流光溢彩。领、襟边及袖端饰石青色五彩云龙片金缘，并镶平赤圆金窄边。石青云缎接袖。袍内衬白色暗花绸里，内絮薄绵。襟缀铜镀金錾花扣4枚。此为清初皇帝吉服。袍捻金匀细，织造精致。
黄缎织金团龙袷袍,清早期,http://www.dpm.org.cn/Uploads/Picture/dc/16635.jpg,服饰,男吉服,黄缎织金团龙袷袍，清早期，身长108厘米，两袖通长135厘米，袖口宽12厘米，下摆宽92厘米，前后裾长37厘米，左右裾长17厘米。清宫旧藏。袍圆领，右衽，马蹄袖，裾四开。袍在五枚素缎地上以赤圆金线织团龙纹，领、襟边和袖端饰石青夔龙织金缎。袍内衬白色素纺绸里。襟缀铜镀金光素扣4枚。此为清初皇帝吉服。其捻赤圆金线匀细，龙纹提花清晰，以片金织龙鳍和流云，将金龙纹烘托得愈加光彩夺目，此为清初的服饰装饰特点之一。此袷袍织造工丽细致，面料柔软，穿着舒适。
粉色风景纹暗花绫绵袍,清早期,http://www.dpm.org.cn/Uploads/Picture/dc/16068.jpg,服饰,女便服,粉色风景纹暗花绫绵袍，清早期，身长93厘米，两袖通长70厘米，袖口宽8厘米，下摆宽64厘米。清宫旧藏。袍圆领，大襟右衽，平袖，无扣，不开裾。袍以粉色绫为面，其上显现暗花风景纹。领口沿镶石青素缎边。袍内衬湖色石榴蝴蝶团花绸里，薄施丝绵。此为清代后妃便服。此绵袍柔软轻薄，质料亮泽，提花清晰，体现了清早期的丝织工艺水平。
顾绣五十三参图册,清早期,http://www.dpm.org.cn/Uploads/Picture/dc/13627.jpg,织绣画,顾绣,顾绣五十三参图册，清初，每开长27厘米，宽24厘米。此图册共53开，描绘佛经《华严经》中所述善财童子参拜53位名师、终得正果的故事，但此套图册所绣人物实际上已民俗化。图册画面运用套针（包括平套针、散套针和集套针）、齐针（包括横缠针、直缠针和斜缠针）、滚针、接针、钉针、盘金、平金、抢针、编针、网针、鸡毛针、打籽、刻鳞针等十余种针法绣制，辅以石青、石绿和赭石等颜料皴擦点染。配色丰富精妙，有金黄、缃黄、驼黄、朱红、粉红、桔红、宝蓝、深蓝、月白、草绿、果绿、棕色、褐色、葡灰等二十余种色线。所绣人物众多，而衣饰、姿态和神情各异，造型夸张，生动有致，类似晚明丁云鹏、吴彬的工笔人物画风格。此图册是顾绣针法和色彩运用的集大成者，充分展示了顾绣擘丝纤细、针法多变、配色和谐、绣画结合等特点，是技艺精湛的刺绣艺术杰作。每开均墨书“佛弟子赵墉拜供”，绣“墉”印一方。末开墨书《般若波罗蜜多心经》经文，绣“露香园”和“麋公”印各一方。
东珠朝珠,清顺治,http://www.dpm.org.cn/Uploads/Picture/dc/50592.jpg,服饰,未知,东珠朝珠，清顺治，周长137厘米。朝珠由108颗东珠穿成，以四个珊瑚结珠（亦称分镶）等分，结珠两侧穿有青金石结珠共8粒。其中一珊瑚结珠连接绿松石佛头，以黄绦与背云相连，背云上嵌金镶猫眼石一颗，并将珊瑚雕成蝙蝠形状制成结牌，有东珠结珠四粒，坠角以金累丝为托，下坠红宝石一颗。朝珠有纪念三串，每串穿绿松石10颗，坠角为红宝石，上系东珠结珠各一。清朝典章制度规定，东珠朝珠只有皇帝和皇太后、皇后在宫中举行大典时才能佩戴。清代皇室非常看重东珠这种产于东北松花江下游及其支流的淡水珍珠，曾作出规定，只有宫中可以支配，王侯大臣不得随意使用。其大而圆者饰于皇冠或朝珠之上，异形珠则用于镶嵌。据宋蔡滫《铁围山丛谈》记载，这种珍珠在北宋时期就非常名贵，径寸者价值二三百万。
黄缎织金行龙彩云袷褂,清顺治,http://www.dpm.org.cn/Uploads/Picture/dc/28967.jpg,未知,未知,黄缎织金行龙彩云袷褂，清初，身长104厘米，两袖通长116厘米，袖口宽17厘米，下摆宽91厘米，左右裾长44厘米，后裾长49厘米。清宫旧藏。褂圆领，对襟，平袖端，裾四开。月白色万字曲水花卉暗花绫里，铜镀金錾花扣4枚。褂为黄色缎地，前后各织大金龙一条，两肩各织小金龙一条，间饰如意云。下摆、袖端饰海水。龙纹豪放，配色沉稳。下摆、袖端和前胸有明显的拼接痕迹，共计15块。面料具有明代风格。
香黄缎暗云龙织金团龙龙袍（拆片）,清顺治,http://www.dpm.org.cn/Uploads/Picture/dc/19024.jpg,服饰,男吉服,香黄缎暗云龙织金团龙龙袍（拆片），清顺治，身长118厘米，两袖通长145厘米，袖口宽14厘米，下摆宽105厘米，前后裾长31厘米。清宫旧藏。龙袍圆领，大襟右衽，马蹄袖，袖身有压褶接袖一段，裾前后开。袖边及领边用石青色妆花缎镶边。龙袍以在暗四合如意云组成的方格骨架内织团龙纹的香黄色缎为地，并用“妆花”技法以圆金线织正面金龙四团，间饰五彩祥云和海水江崖。金龙用圆金线织成，每两根为一组，突出了龙纹的立体感，而祥云和海水江崖纹虽然仅有蓝、绿二色，但由于运用了晕色技法，亦不显单调。此龙袍织工精细，花纹设计巧妙，用色讲究，是清代顺治皇帝所穿的龙袍。
