文物名称,时代,图片链接,分类,窑口,文物简介
建阳窑黑釉盏,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16919.jpg,结晶釉,建阳窑,黑釉盏，宋，高7.5厘米，口18厘米，足径5厘米。碗撇口，斜直壁，浅圈足。通体施黑釉，外口沿釉呈黑黄褐色，内外壁釉面呈现黑、褐相间的兔毫纹，满釉至底足，。此盏口径较大，器壁线条流畅，造型十分优美。虽然它的胎、釉、造型都与建阳窑黑釉盏明显不同，例如，此器胎色灰白，而典型的建阳窑产品胎色紫黑，但它仍属于建阳窑类型器物。宋代黑釉茶盏以福建建阳窑烧制的产品最为著名，烧造量也很大，其他地区如四川、山西、江西、河北、河南等地也有生产。
耀州窑印花菊瓣纹碗,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16926.jpg,颜色釉,耀州窑,耀州窑印花菊瓣纹碗，宋，高5.1厘米，口径13.2厘米，足径4.1厘米。碗敞口，深弧壁，圈足。内外施青黄色釉。内底模印菊花一朵，内、外壁分别采用剔刻放射性线条的方式表现菊瓣纹。菊花及各种花卉是耀州窑十分常见的装饰题材。此碗独到之处在于它运用耀州窑特有的犀利刀法将形象的菊花花朵与抽象的菊花花瓣巧妙地结合在一起，图案简捷明快，使人感受到大自然的气息。
建阳窑黑釉兔毫盏,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16917.jpg,结晶釉,建阳窑,建阳窑黑釉兔毫盏，宋，高9.6厘米，口径16.2厘米，足径4.9厘米。盏敛口，深弧腹下收，圈足。内外施黑釉，内壁满釉，外壁施釉不到底，垂釉形成滴珠状。口沿釉色黄褐，近底露胎处呈黑褐色。此盏为典型的福建建阳窑器物。北宋时期因宫廷盛行斗茶之风，所以这种胎体厚重、釉色漆黑的茶盏流行一时。在这种茶盏的黑色釉面上有呈放射状的黄褐色条纹，似兔子身上的皮毛，俗称“兔毫纹”，属于结晶釉的一种。除“兔毫纹”盏外，建阳窑还生产“油滴纹”盏，它们均为宋代著名的茶具品种。
越窑青釉瓜棱执壶,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16909.jpg,颜色釉,越窑,越窑青釉瓜棱执壶，宋，高23厘米，口径12.5厘米，足径9.1厘米。执壶撇口，直颈，四瓣瓜棱式椭圆腹，肩部一侧置曲流，另一侧置扁柄，流与柄之间有双条形系，圈足。通体施青绿色釉，外底刻“太平戊寅”四字。“太平戊寅”即北宋太平兴国三年（978年）。这是一件带有明确纪年的瓷器，为越窑瓷器的断代提供了标准器。此执壶反映了北宋早期越窑执壶的特征，如四瓣瓜棱式腹、壶流较短等，为研究越窑执壶的演变提供了重要实物资料。
钧窑玫瑰紫釉渣斗式花盆,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16898.jpg,颜色釉,钧窑,钧窑玫瑰紫釉渣斗式花盆，宋，高18.4厘米，口径20.1厘米，足径12厘米。花盆呈渣斗形，撇口，长颈，圆鼓腹，圈足外撇。通体施窑变釉，各部位釉色不同。内壁口沿处以天蓝色釉为主，其下蓝、紫相间。外壁口沿至颈部，天蓝色底釉上晕散着玫瑰红色釉，犹如晚霞；腹部釉色以玫瑰红色为主，明亮艳丽；外底施酱色釉。底开有五个渗水孔，并刻有数目字“六”。钧窑遗址位于今河南省禹州市境内，最著名的窑场位于禹州旧城北门内的钧台与八卦洞附近。钧窑最为考究的产品是陈设用瓷，器形有各式花盆、花盆托、出戟尊等，底部、足内侧多刻划从“一”至“十”的汉写数目字。通过对传世品及出土物的排比研究发现，数字应是同类器物大小规格的编号，即器物越大编号越小，“一”是尺寸最大者。此花盆底刻“六”字，说明尺寸大小适中。钧瓷以釉色取胜，其典型釉是以氧化铜为着色剂的窑变釉，在还原气氛下烧成后，釉色千变万化，素有“钧瓷无双”之说。
钧窑玫瑰紫釉鼓钉三足花盆托,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16901.jpg,颜色釉,钧窑,钧窑玫瑰紫釉鼓钉三足花盆托，宋，高9.2厘米，口径24.3厘米，足距16厘米。花盆托敞口，浅弧腹，平底，下承以三个如意头形足。外壁口沿下和近底部各饰鼓钉一周，分别为21枚和18枚。通体施釉，内壁釉色天青，青中泛白；外壁釉色蓝中泛紫，绚丽夺目。外底刻汉写数目字“一”。此类造型曾被称为“洗”，经过学者与传世绘画等对比，其功能应为花盆托。传统观点认为是宋徽宗时期为装点皇家园林“艮岳”而命禹州专门烧造的陈设器，故而被视为官方所设瓷窑产品，即今人所谓“官钧”。 近年来，有学者对陈设类钧瓷的属性及烧造年代产生质疑，提出“金代说”“元代说”、“元末明初说”、“明初说”等不同观点。这些问题的厘清，有待于进一步的考古发现和科学研究。
西村窑青白釉刻花凤头壶,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16921.jpg,颜色釉,西村窑,西村窑青白釉刻花凤头壶，宋，高16.8厘米，口径4.2厘米，足径8.4厘米。口作凤头形，高冠，大眼，曲喙，凤顶花冠为注水口。长颈上凸起三道弦纹，圆腹丰满，宽圈足。肩一侧置弯曲的长流，另一侧置圆柱形柄，流、柄为后修补。通体施青白釉，釉层较薄。腹外壁上部刻缠枝花卉纹，下部刻蕉叶纹。此凤首壶之造型虽源于隋、唐时期受波斯风格影响的器物，但其腹部又有自己独特的风格。隋、唐时期的凤首壶腹部多修长，并在上面堆贴纹饰，而此壶腹部造型圆鼓，装饰手法采用刻划花。经与窑址调查所采集的标本对比可知，此壶为广东西村窑制品。西村窑瓷器主要用于外销，目前国内出土及传世都较少，而在东南亚一带特别是菲律宾则有大量出土。
绿釉剔刻花卉纹执壶,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16916.jpg,剔花,广元窑,绿釉剔刻花卉纹执壶，宋，高23厘米，口径5厘米，足径9.4厘米。壶直口，长颈，筒形腹，圈足。颈部两侧对称塑贴花纹，肩一侧置长弯曲的长流，另一侧置扁圆柱形柄。通体施绿釉，釉层较薄，露胎处呈黑褐色。腹部以剔刻的四条竖道为一组间隔出六个开光，开光内剔刻折枝花卉。此壶造型、釉色都独具特色，特别是腹部采用剔刻工艺，利用胎、釉形成的色调差异造成浅浮雕的艺术效果。20世纪80年代在四川广元瓷窑铺窑址曾采集到与此壶相似的标本。
钧窑玫瑰紫釉长方花盆,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16900.jpg,颜色釉,钧窑,钧窑玫瑰紫釉长方花盆，宋，高15厘米，口横20厘米，口纵16.5厘米，足距横13.4厘米，足距纵10厘米。花盆长方体。广口委角，折沿，斜直壁，平底，四云头形足。内壁釉呈月白色，外壁天蓝色和玫瑰紫色釉相间，釉面可见“蚯蚓走泥纹”，外底施酱色釉。底有五个渗水孔，并刻有数目字“十”，表明这件花盆为同套花盆中尺寸最小者。花盆为钧窑瓷器中的重要品种，是当时为满足皇宫需要按照宫廷出样设计和烧成的。
磁州窑白地黑花八方枕,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16906.jpg,釉下彩,磁州窑,磁州窑白地黑花八方枕，宋，高12厘米，枕面长32厘米，宽23厘米；底长31厘米，宽21.5厘米。枕八方形，面、底出沿，外壁各面转角处均有一道八节竹子状凸棱。背面有一通气孔，素底无釉。枕面周边描绘黑彩边框，中心以黑彩描绘折枝牡丹一枝，并在花瓣、花叶上以尖状工具划掉黑彩，呈现出白色的筋脉。此枕采用的竹节出筋装饰是宋代磁州窑的典型风格，枕面描绘精细生动，为磁州窑的高档产品。八方形枕是磁州窑常见的枕式，在窑址调查中发现有专门烧这种枕的窑场。传世八方形枕的装饰纹样多为花鸟、莲池、鸭、鸡、兔等，具有浓厚的生活气息。
建阳窑黑釉兔毫盏,宋,http://www.dpm.org.cn/Uploads/Picture/dc/24963.jpg,结晶釉,建窑,建阳窑黑釉兔毫盏，宋，高5.8厘米，口径12.8厘米，足径3.9厘米。盏撇口，斜直壁，小圈足。内壁满釉。外施施釉不到底，腹下部釉垂流如泪痕。口沿处釉呈酱色，其下渐为褐黑相间，内底纯黑色，外底露胎处呈铁黑色。釉中有丝状黑褐色兔毛般结晶，俗称“兔毫”。宋金时期，兔毫盏在我国很多地方如江西、山东、河南、河北等地都有烧制，其中以建阳窑所烧“建盏”最为著名。由于宋代兔毫盏名气很大，文人对它多有赞美之辞，如蔡襄《茶录》云：“兔毫紫瓯新，蟹眼清泉煮。”
定窑紫金釉葵瓣口盘,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16915.jpg,颜色釉,定窑,定窑紫金釉葵瓣口盘，宋，高3.5厘米，口径17.9厘米，足径5.9厘米。盘撇口呈六瓣葵花状，腹部渐敛，近底处呈折角状，故称“折腰盘”。内外施酱色釉，外壁施釉不到底，足墙露胎，圈足内有釉。此盘造型规整，是宋代北方地区常见的器形。其釉色匀净，折角线清晰，堪称定窑瓷器中的精品。定窑以烧白釉瓷器为主，而酱釉器和黑釉器的数量则较少。此盘釉色较浅，釉面泛黄色，这种酱色釉又称作“紫金釉”。目前所知除河北定窑烧制酱釉瓷器外，河北磁州窑，河南修武窑、鲁山窑、宝丰窑，陕西耀州窑，山西介修窑，甘肃安口窑等也有烧制。
修武窑绞胎罐,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16914.jpg,绞胎,修武窑,修武窑绞胎罐，宋，高9厘米，口径3.6厘米，足径5.1厘米。罐小口，丰肩，鼓腹，圈足。口沿、足墙施白釉，罐身以褐、白两色泥料揉绞出有如羽毛样花纹，新颖奇特。此罐花纹与修武窑所出标本极为相似，而且口施白釉的做法在修武窑也很常见，因此推断可能为修武窑制品。绞胎工艺始于唐代，借鉴漆器犀毗工艺，以不同颜色的胎土绞成各种图案，如羽毛纹、树叶纹、木纹、云纹等。由于绞胎工艺复杂，因此，目前所见器物一般均为小件器，常见的有盘、碗、小罐、小壶、枕等。宋代烧造绞胎产品的瓷窑较多，目前已知有河南郏县窑、登封窑、宝丰窑、新安窑、修武窑及山东淄博窑等。
定窑印花云龙纹盘,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16897.jpg,颜色釉,定窑,定窑印花云龙纹盘，宋，高4.7厘米，口径23厘米，足径10.8厘米。盘敞口，口沿无釉（俗称芒口），浅弧壁，圈足。胎体轻薄，胎色洁白。通体施白釉，外壁釉垂流形成泪痕。内壁印一周云纹，内底印一矫健行龙。印花系指以雕刻有花纹的模具在尚未干透的坯体上压印出图案花纹，是定窑主要装饰手法之一。北宋中期以后定窑发明了覆烧工艺，“芒口”是这种工艺所留下的特征，覆烧可以充分利用窑的容积，大大提高产量。
定窑刻划花荷莲纹葵口碗,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16895.jpg,颜色釉,定窑,定窑刻划花荷莲纹葵口碗，宋，高6.8厘米，口径19.2厘米，足径5.7厘米。六瓣葵花形，镶铜釦，深弧壁，圈足。胎体轻薄，胎面洁净。通体施白釉，外壁釉垂流形成泪痕。内壁刻划荷莲纹和茨菇纹，外壁光素。刻划花是定窑主要装饰手法之一，所刻线条流畅，飘逸潇洒。此件器物刻划的莲花在白色釉的衬托下若隐若现，反映出宋代陶瓷手工艺的高超水平。
汝窑天青釉圆洗,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16893.jpg,颜色釉,汝窑,汝窑天青釉圆洗，宋，高3.3厘米，口径13厘米，足径8.9厘米。洗敞口，浅弧壁，圈足微外撇。通体施淡天青色釉，釉质莹润，釉面开细碎片纹。外底有三个细小如芝麻粒状的支烧钉痕，露胎处呈香灰色。外底中心镌刻一个“乙”字。器物外底所刻“乙”字，一般认为是入藏清代宫廷后所刻。精于鉴古的清代皇帝曾将宫廷收藏的古董划分等级，因此，在一些清宫旧藏器物上留下了当时镌刻的“甲”、“乙”、“丙”等标志。在故宫博物院所藏宋代汝窑瓷器上，还有镌刻“蔡”、“寿成殿皇后阁”等铭文，一般认为刻字时间较早。据推测“蔡”字可能与北宋徽宗时期权臣蔡京或其子蔡絛有关，“寿成殿皇后阁”则是宋代宫殿名。文献记载汝窑用玛瑙作釉的原料，其实玛瑙的主要成分是二氧化硅，而釉的主要成分也是二氧化硅，因此，玛瑙的加入对釉的性质不会产生多大影响，只能说明烧造宫廷用瓷之不惜工本。 “冰裂纹”、“香灰色胎”、“芝麻挣钉”是鉴别真假汝窑瓷器的重要依据。
吉州窑黑釉剪纸贴花三凤纹碗,宋,http://www.dpm.org.cn/Uploads/Picture/dc/17280.jpg,剪纸贴花,吉州窑,吉州窑黑釉剪纸贴花三凤纹碗，高6.8厘米，口径16.4厘米，足径4.9厘米。碗内釉呈黄褐色，以剪纸贴花装饰，内底为梅花一朵，内壁饰三只凤凰，似在相逐飞舞。通体施黑釉，外壁在黑釉上以黄褐色釉随意点洒成大小不一的斑点，施釉不到底。宋代饮茶、斗茶之风盛行，黑色茶盏受到斗茶者的喜爱，宋徽宗在《大观茶论》中称：“盏色贵青黑，玉毫条达者为上。”故全国兴起了不少烧黑瓷的窑场，其中以福建的建阳窑和江西的吉州窑最为著名。吉州窑工匠运用民间剪纸的手法，把凤凰灵动飘逸的形象生动传神地展现在这件瓷碗上，新颖别致，极具图案装饰效果。
官窑粉青釉瓶,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16913.jpg,颜色釉,官窑,官窑粉青釉瓶，宋，高34.5厘米，口径9.9厘米，足径14厘米。瓶直口，口沿下凸起弦纹1道，长颈，垂腹，圈足。通体施粉青色釉，釉层肥腴，美若古玉，釉面开有冰裂状纹片，上部开大片纹，近底处纹片细碎。“官瓷重楷模，精华四海粹”，这是《饮流斋说瓷》中对宋代官窑瓷器的赞美。官窑属于五大名窑之一，窑址有南北之分。北宋官窑兴盛于宋徽宗时期，据文献记载，窑场设在汴京（今河南开封），目前尚无考古发现。南宋官窑的窑址在杭州，考古工作者对其进行了多次发掘，获得了比较多的实物资料。此瓶是官窑中的杰作，形体硕大，造型端庄古朴，溢青流翠的釉面上隐现出冰裂纹，在清代皇宫收藏中备受皇帝的赏识，成为御苑至宝。
磁州窑白地黑花竹纹枕,宋,http://www.dpm.org.cn/Uploads/Picture/dc/16928.jpg,釉下彩,磁州窑,磁州窑白地黑花竹纹八方枕，宋，高10.5厘米，长28.3厘米，宽19.8厘米。枕呈八方形，壁有八面，枕面和底部均出边。枕面与枕壁均以白地黑花装饰，枕面为篁竹一丛，枕壁为卷草纹一周。外底戳印“张家造”款识。在宋、金、元时期，瓷枕是磁州窑的主要器形之一。此枕画法写意，运笔自然流畅，形象地表现出篁竹的挺拔与柔韧，具有中国传统水墨画的效果。20世纪70年代，故宫博物院进行窑址调查工作时，在磁州窑的观台窑z址中发现了大量带有“张家造”款识的瓷枕标本，说明当时有专门烧造瓷枕的窑场。
钧窑月白釉出戟尊,宋,http://www.dpm.org.cn/Uploads/Picture/dc/6407.jpg,颜色釉,钧窑,钧窑月白釉出戟尊，宋，高32.6厘米，口径26厘米，足径21厘米。涂酱色釉，刻划数目字“三”。　　此尊风格古朴、庄重，为宋代宫廷使用的典型陈设用瓷。传世钧窑器物的底部多刻有“一”到“十”不同的数目字，其意义历来有不同的解释。据现存实物证明，器底所刻数字越小，器形越大。传世钧窑陈设用瓷器中，以各式花盆和花盆托最为多见，出戟尊则较少。目前全世界所见仅约10件左右，除此件以外，还有上海博物馆收藏的钧窑月白釉出戟尊、台北故宫博物院收藏的钧窑丁香紫釉出戟尊等。
当阳峪窑白釉剔花缠枝菊纹缸,宋,http://www.dpm.org.cn/Uploads/Picture/dc/7031.jpg,剔花,当阳峪窑,当阳峪窑白釉剔花缠枝菊纹缸，宋，高34.5厘米，口径16厘米，足径12.6厘米。剔花装饰，自口至腹下部共5层纹饰，依次为花叶纹、回纹、缠枝牡丹、回纹、花叶纹。　　此罐色彩鲜明，对比强烈，纹饰繁缛生动。剔花瓷器的做法是先在灰褐色胎上施一层洁白的化妆土，划出纹样，再将花纹以外的地子上的白色化妆土剔掉，露出灰褐色胎，形成深色地子衬托白色花纹的装饰效果。宋、金时期，我国北方山西、河北、河南、内蒙、宁夏的一些瓷窑，为了解决当地制瓷原料不够纯净给瓷器生产带来的弊端，另辟装饰蹊径，利用化妆土或黑釉的遮盖能力，大量采用白釉或黑釉剔花装饰，形成新的装饰风格，其中以河南当阳峪窑的产品最受人称道。
钧窑月白釉瓶,宋,http://www.dpm.org.cn/Uploads/Picture/dc/13536.jpg,颜色釉,钧窑,钧窑月白釉瓶，高28厘米，口径4.8厘米，足径7厘米。瓶唇口，口沿微撇，长颈，颈部上宽下窄如喇叭形，圆腹下垂，圈足。通体施月白釉，口沿处釉薄微显胎色，足边无釉呈酱色。钧窑产量最大的是碗、盘、洗、罐、瓶、炉、枕等生活用品，釉色以带乳光的天蓝居多，部分饰有红或紫红色斑块，少见通体玫瑰紫和海棠红器物。由于这类产品主要供民间日常所用，故人们习惯称之为“民钧”。此瓶造型别致，釉色匀净，为民窑中较好的作品。
黄釉黑彩竹纹瓶,宋,http://www.dpm.org.cn/Uploads/Picture/dc/13531.jpg,釉下彩,未知,黄釉黑彩竹纹瓶，宋，高29.8厘米，口径5.3厘米，足径8.2厘米。瓶小口出沿，短颈，丰肩，鼓腹，腹下收敛，瘦足。胎呈粉白色，胎上涂一层化妆土，再通体施褐黄釉。外壁在釉下以黑彩描绘纹饰，肩与足部为相间的弦纹和波纹，腹部画竹纹，竹叶以单笔绘成，简洁生动。此瓶之黑彩施于褐黄釉下，呈现出与磁州窑白地黑彩器不同的艺术效果。梅瓶在宋、金、元时期的北方磁州窑、山西介休窑等地许多窑口均有烧造，但此种在褐黄釉下绘黑彩竹纹的梅瓶并不多见。此瓶应为盛酒用具。
哥窑青釉海棠式花盆,宋,http://www.dpm.org.cn/Uploads/Picture/dc/12275.jpg,颜色釉,哥窑,哥窑青釉海棠式花盆，宋，高7.8厘米，口横14.6厘米，口纵11.8厘米，底横11厘米，底纵8.5厘米。花盆呈四瓣海棠花式，广口，折沿，斜壁，平底，下承四个如意云头形足。通体施灰青色釉，足底无釉，呈黑褐色。釉面有黄、黑二色开片，内壁开片细碎，外壁釉面开片较大，片纹纵横交织，有较强的艺术魅力。内底有5个支钉烧痕，应为套烧小件器物时留下。哥窑瓷器以盘、碗、瓶、洗等多见，花盆则较为少见。
绿釉三彩划花人物纹长方枕,宋,http://www.dpm.org.cn/Uploads/Picture/dc/13532.jpg,三彩,未知,绿釉三彩划花人物纹长方枕，宋，高11.8厘米，面横33.5厘米，面纵15.5厘米。枕呈长方形，两端稍阔，中间略收，一侧面有一圆形通气孔。枕面以划花装饰，长方形边框内纹饰分3组：中间一组为人物纹，二人前后相伴而行，服饰一黄一绿，前者手持鱼篓，后者扛杆，似去垂钓，周围的绿树、青草、黄云透出生机；两侧两组黄地开光内各绘折枝花一朵，白花绿叶，开光外衬以褐黄色地。枕面的边框外至枕侧面施绿彩，施釉不到底。枕面纹饰设色以绿彩、黄彩为主，色彩素雅，体现了宋三彩的着色特点。
耀州窑青釉药王塑像,宋,http://www.dpm.org.cn/Uploads/Picture/dc/13530.jpg,颜色釉,耀州窑,耀州窑青釉药王塑像，宋，高45.0厘米，底径10.5厘米。这是一尊宋代耀州窑烧造的青釉塑像，塑造一中等身材的伫立男像。其形像昂首挺胸，双目炯炯有神，平视前方，两腮微鼓，双唇紧闭，神态安详。头戴蝴蝶结饰物，身披由树叶缀连而成的长衣，左手托宝瓶，右手执草叶于胸前，腰间系一布带，赤足立于圆托上。通体罩青中略带黄色之釉。虽然像上未标注姓名，但塑造的应是人们景仰的崇拜为“药王”的孙思邈。中国医学史上被尊称为“药王”者虽有多人，但唯有孙思邈享誉最广，影响最大，受到医学界和民间的广泛推崇，为他举办纪念活动也最为经常。孙氏是陕西耀县人，耀县紧临铜川，大名鼎鼎的孙思邈自然会成为宋代耀州窑工匠的创作素材。据说铜川旧有药王庙，庙中供奉孙思邈像。
定窑白釉刻回纹盏托,宋,http://www.dpm.org.cn/Uploads/Picture/dc/9981.jpg,颜色釉,定窑,定窑白釉刻回纹盏托，宋，高6.5厘米，口径8.6厘米，足径8.2厘米。盏托上呈杯形，口沿无釉，托盘口镶铜釦，圈足外撇。里外施白釉，杯外壁近口沿口处与托盘内壁近口沿处各饰回纹一周。此盏托造型规整，釉色温润，纹饰简洁，具有美观而实用的特点。
白釉花式高足杯,宋,http://www.dpm.org.cn/Uploads/Picture/dc/14031.jpg,颜色釉,未知,白釉花式高足杯，宋，口径9.8厘米，足径4.5厘米，高6.3厘米。杯呈五瓣花式，敞口，深弧腹，高足微外撇。通体施白釉。此杯造型仿金银器，釉色洁白，釉质光润，精致细巧，体现了宋代白瓷的烧制水平。
景德镇窑青白釉刻花注壶、温碗,宋,http://www.dpm.org.cn/Uploads/Picture/dc/14029.jpg,青白瓷,景德镇窑,景德镇窑青白釉刻花注壶、温碗，宋，通高24.3厘米。注壶：高21.5厘米，口径3.5厘米，足径9厘米；温碗：高12.3厘米，口径17厘米，足径9.8厘米。注壶直口，折肩，肩部刻划缠枝牡丹纹，对称置弯流、曲柄，圈足。附筒形盖，盖顶置蹲坐狮形纽，仰首翘尾，形象生动。温碗作六瓣葵花形，深弧壁，圈足。注壶与碗通体施青白釉。温碗组合成套，是温酒用具。温酒时将注壶置于温碗中，以碗中热水温之。　　从纪年墓出土的实物看，成套的注壶、温碗多为北宋遗物。其中以安徽宿松北宋元祐二年（1087年）吴正臣夫妇墓出土的一套青白釉注壶、温碗最为精美。宋孟元老《东京梦华录》曰：“大抵都人风俗奢侈，度量稍宽，凡酒店中，不问何人，止两人对坐饮酒，亦须用注碗一副，盘盏两副，果菜碟各五片，水菜碗三五只，即银近百两矣。”说明北宋时曾普遍流行使用注壶、温碗。
景德镇窑青白釉倒流壶,宋,http://www.dpm.org.cn/Uploads/Picture/dc/14028.jpg,青白瓷,景德镇窑,景德镇窑青白釉倒流壶，宋，高11.2厘米，足径6厘米。壶体呈球形，顶部堆塑一条螭龙巧妙地形成壶流与提梁，腹部作瓜棱状，实足，中心有一注酒的圆洞。通体施青白釉，釉色白中泛青。此壶设计巧妙，因利用连通器原理，注酒时将壶倒置，从底孔注酒后，再将壶正置，即可从螭龙嘴往外倒酒，故称“倒流壶”。
西村窑青白釉褐斑刻划凤纹大碗,宋,http://www.dpm.org.cn/Uploads/Picture/dc/8941.jpg,颜色釉,西村窑,西村窑青白釉褐斑刻划凤纹大碗，宋，高8.9厘米，口径33.3厘米，足径9.5厘米。碗折沿，弧壁，圈足。通体施青白釉。内底刻凤纹，并饰有5组规则的褐色点彩。内壁刻缠枝莲花纹，花纹上随意点缀褐色点彩。碗外壁素面无纹饰。此碗形体大而规整，以刻花与点彩相结合进行装饰，繁而不乱，为宋代西村窑瓷器的代表作。青白釉刻花加褐色点彩是西村窑特有的品种。这种点彩手法在广州晋墓出土的青釉器中已有发现，可见它是由晋代流传下来的。
吉州窑绿釉刻花枕,宋,http://www.dpm.org.cn/Uploads/Picture/dc/8654.jpg,颜色釉,吉州窑,吉州窑绿釉刻花枕，宋，高9厘米，面横26.5厘米，面纵22厘米，底横24厘米，底纵19厘米。枕如意形，底中心有长方形通气孔。通体施绿釉，底素胎无釉。枕面依枕形外周划复线开光，开光内刻叶纹4片，枕侧戳印朵花纹。绿釉枕是宋金时期比较流行的瓷器品种，尤以北方瓷窑烧造较多，如河北定窑、磁州窑，河南鲁山窑、宝丰窑、禹县窑等均有制作。此枕纹饰与在吉州窑遗址中采集到的标本类同，为吉州窑绿釉器物之典型。
吉州窑黑釉剔花梅瓶,宋,http://www.dpm.org.cn/Uploads/Picture/dc/8652.jpg,剔花,吉州窑,吉州窑黑釉剔花梅瓶，宋，高19厘米，口径5厘米，足径6.8厘米。瓶小口，圆唇，短颈，丰肩，腹部下收，足内凹。通体施黑釉，外壁剔刻折枝梅花，纹饰部分露黄色胎，花蕊用褐彩勾画，装饰效果极强。
定窑白釉刻划蟠螭荷莲纹折腰洗,宋,http://www.dpm.org.cn/Uploads/Picture/dc/9980.jpg,颜色釉,定窑,定窑白釉刻划蟠螭荷莲纹折腰碗，高5.5厘米，口径16.8厘米，足径9.4厘米。洗敞口，镶铜釦，折腰，圈足。通体施白釉，内底刻划蟠螭纹，身形矫健，富于表现力，内、外壁均刻划荷莲图案，并以篦划纹表现花瓣筋脉。此洗白釉纯净，刻划线条自然流畅，尤其是内、外壁均有刻划纹，较为罕见，堪称定窑瓷器的精美之作。
哥窑青釉葵花式洗,宋,http://www.dpm.org.cn/Uploads/Picture/dc/9996.jpg,颜色釉,哥窑,哥窑青釉葵花式洗，高3.5厘米，口径12厘米，足径8.8厘米。洗呈葵花瓣式，敞口，斜直壁，矮圈足。通体施灰青色釉，釉汁厚润，釉面满布开片，纹片大小相间，大片的纹线呈铁黑色，小片的纹线呈金黄色，俗称“金丝铁线”。内底中心微凸，外底有6个支钉烧痕。洗在古代生活中用途广泛，有盥洗用具，亦有文房用具或陈设品。汉至晋代，洗有陶、青瓷制品，流行在内底刻鱼纹。宋代南北瓷窑普遍烧造。此洗造型玲珑小巧，典雅可爱，是宋代哥窑瓷器中的精细之作。
哥窑灰青釉八方贯耳壶,宋,http://www.dpm.org.cn/Uploads/Picture/dc/9977.jpg,颜色釉,哥窑,哥窑灰青釉八方贯耳壶，高14.9厘米，口径4.6-3.7厘米，足径4.8-6.4厘米。壶作八方形，口微外撇，短颈内弧，腹下部丰满，高圈足微外斜。颈部饰两道凸弦纹，两侧对称置中空的筒形耳，俗称“贯耳”。通体施灰青色釉，遍布细碎开片，开片纹呈黑色。足端无釉，呈黑褐色，俗称“铁足”。此壶仿青铜器式样，釉面光亮莹润，通体开细碎鱼子纹，纹片自然美观，别具一格，为典型的哥窑产品。
哥窑八方碗,宋,http://www.dpm.org.cn/Uploads/Picture/dc/9978.jpg,颜色釉,哥窑,哥窑青釉八方碗，高4.2厘米，口径7.8厘米，足径2.8厘米。碗呈八方形，口微外撇，弧壁，八方形圈足微外撇。通体施青釉，满布开片纹。内壁施较釉薄，开片细小而密集，形成一种无规则的蜘蛛网线，即百圾碎。外壁施釉较厚，开片较大，为冰裂纹。口沿因釉垂流变薄隐隐映出紫黑色胎骨，足端无釉呈铁黑色，俗称“紫口铁足”。此碗造型新颖雅致，折角棱线分明，线条宛转自然，为宋哥窑器物中的珍品。
吉州窑剪纸贴花小碗,宋,http://www.dpm.org.cn/Uploads/Picture/dc/8653.jpg,剪纸贴花,吉州窑,吉州窑剪纸贴花小碗，宋，高5.3厘米，口径10.5厘米，足径3.5厘米。碗敞口，深弧壁，浅圈足。内外施两种釉，内壁为窑变花釉，饰3组酱色菱形开光式剪纸纹样；外壁为酱釉，点以浅黄色斑点。将民间剪纸贴花艺术直接运用到瓷器的装饰上是吉州窑匠师的创举。
耀州窑青釉刻海水鸭纹花式碗,宋,http://www.dpm.org.cn/Uploads/Picture/dc/10186.jpg,颜色釉,耀州窑,耀州窑青釉刻海水鸭纹碗，高7.4厘米，口径17.8厘米，足径4.9厘米。碗作六花瓣形，敞口，斜弧壁，近底渐收，圈足。通体施青釉，釉色深沉，青中泛黄。内壁刻花兼蓖划海水纹，内底刻划一游鸭，外壁光素无纹。此碗造型优美，纹饰清晰，鸭纹生动传神，海水纹宛转自然，由此可见耀州窑工匠娴熟的技艺，是耀州窑瓷器的代表作品。
耀州窑青釉人形执壶,宋,http://www.dpm.org.cn/Uploads/Picture/dc/10177.jpg,颜色釉,耀州窑,耀州窑青釉人形执壶，宋。壶体造型为一男子，束冠，拱手，着长衫，双腿直立，微露双足。人物面部表情庄重肃穆，躯体中空，头有孔为壶口，双手于胸前捧方口壶流，后背中央附曲柄。通体施青釉，釉色青绿，匀净滋润，因衣纹线条折角处釉薄呈现出胎色而具有立体效果。耀州窑的瓷塑作品很少，此件人形执壶无论是造型构思还是工艺水平均可谓上乘佳作。
