文物名称,时代,图片链接,分类,作者,文物简介
晚荷郭索图页,南宋,http://www.dpm.org.cn/Uploads/Picture/dc/27560.jpg,花鸟,未知,《晚荷郭索图》页，南宋，纨扇页，绢本，设色，纵23.9厘米，横24.7厘米。本幅无款。钤鉴藏印“金陵□□□□”。图中一只硕大的河蟹张牙舞爪踞于残荷之上，肥重的身躯竟将荷梗压断。衬以苍老的莲蓬、枯黄的荷叶、稀疏的芦荻，更增添了萧瑟冷寂的气氛。荷叶和莲蓬用粗笔勾描，蟹用细笔写之，笔法粗犷写实，设色浓重。旧签题 “黄居寀”作，究其画风，与黄居寀相距甚远，故改为无名氏画。对开有清乾隆皇帝御题诗一首：“从来螯蛫善横行，稻熟秋风意气生。甲介向称无所畏，如何每入膳人烹。”钤“古希天子”、“八徵耄念之宝”、“太上皇帝之宝”等玺印多方。曾经清内府收藏，《石渠宝笈续编》著录。
荷塘鸂鵣图页,南宋,http://www.dpm.org.cn/Uploads/Picture/dc/27585.jpg,花鸟,未知,《荷塘鸂鵣图》页，南宋，绢本，设色，纵16.8厘米，横21厘米。本幅无款印。画面烟雾迷濛，一弯清溪，两岸夹植杨柳，间以红花。溪中莲叶点点，鸂鵣戏水，其乐融融。一行白鹭破空飞向远方，蜿蜒的清溪流向画面深处。小小的册页画中采用了深远与高远的画法，使画面意境达到了深远的效果。柳叶用攒笔点画，树干用双钩法绘出，鸂鵣以工笔刻画。设色柔和淡雅。对幅有清乾隆皇帝御题诗一首:“花鸟从来属剑南，水禽夏卉照晴潭。鸳鸯无碍称其紫，弟子有时胜彼蓝。水宿相呼如觧勅，沙群式度自能谙。涨滩落鸟寻常事，何涉西台纪怪谈。”清《石渠宝笈续编》著录。
霜桕山鸟图页,南宋,http://www.dpm.org.cn/Uploads/Picture/dc/27636.jpg,花鸟,未知,《霜桕山鸟图》页，南宋，绢本，设色，纵24.2厘米，横25.4厘米。本幅无款。半印不辨。图绘乌桕一枝，叶片稀疏，经霜之后叶尖微微泛红。果实满挂枝头，表明时值深秋。3只文鸟姿态各异，栖于枝头。树枝用浓墨一笔画出，以赭色勾描叶脉与细枝。树叶、小果采用没骨画法。叶之辗转向背、枝之曲折横斜，描绘得都很细致。文鸟以中锋细笔丝出羽毛，其身体的不同部位分别用白粉、赭石、浓淡墨轻染，细腻写实。构图疏朗，动静结合，设色艳而不俗。此为南宋小品画中精心之作。
张茂双鸳鸯图页,南宋,http://www.dpm.org.cn/Uploads/Picture/dc/14669.jpg,花鸟,张茂,《双鸳鸯图》页，宋，张茂绘，纨扇页，绢本，设色，纵24.4厘米，横18.3厘米。本幅款识：“张茂”。此图选取水景局部：一丛芦苇蓼草探入画面，枝叶稀疏，叶留残雪。一对鸳鸯破水而行，游向苇丛。一只鹡鸰轻栖于苇杆，与俯冲而下的另一只遥相呼应。画面中、上部大片空白，使人联想到广阔水域的浩渺烟波，在构图上颇得小景见大之妙。画面构图简洁疏朗，浸透出丝丝寒意。气氛祥和宁静，寓意寒不异心。画家仅在鸳鸯游曳处画出几笔水波纹，既表现出鸳鸯的动感，又反映出水面的荡漾。在以鸳鸯为主题创造出安谧幸福的情境之余，又添绘相呼相随的小鸟二只，它们的顾盼关系使得上半部画面更加充实生动。芦苇用墨双勾，笔触挺拔劲健。禽鸟体形虽小，但一笔不苟，清晰工致，功力非凡。存《纨扇画》册中。《石渠宝笈初编》著录。
梁楷疏柳寒鸦图页,南宋,http://www.dpm.org.cn/Uploads/Picture/dc/27572.jpg,花鸟,梁楷,《疏柳寒鸦图》页，宋，梁楷绘，纨扇页，绢本，设色，纵26.4厘米，横24.2厘米。本幅款识：“梁楷”。图绘枯柳疏枝，两只乌鸦栖息于树干上，一只低头啄食，一只仰望高空，与远处的飞鸦呼应成趣，另有一只飞临树干。几枝败柳将冬季萧瑟的气氛巧妙地烘托出来，四只寒鸦形神各异。乌鸦头尾以浓墨点染，羽翼用焦墨勾写，腹部略敷白粉，更突出鸦头之黑，笔简神丰。梁楷的“减笔”画既带有文人的笔墨情趣，又能对物象高度概括，具有传神的效果，这在两宋花鸟画中是绝无仅有的。这种画法对元代的颜辉、明代的徐渭、清代的黄慎、近代的任伯年等著名画家都有较大的影响。
朱绍宗菊丛飞蝶图页,南宋,http://www.dpm.org.cn/Uploads/Picture/dc/27570.jpg,花鸟,朱绍宗,《菊丛飞蝶图》页，宋，朱绍宗绘，纨扇页，绢本，设色，纵23.7厘米，横24.4厘米。本幅款识：“朱”。钤鉴藏印2方，印文模糊，唯可辨一“璘”字。裱边题签：“朱绍宗菊丛飞蝶”。图绘丛菊盛开。花分黄、白、蓝、紫四色，构图繁复，灿若文锦。虽是篱边野景，却饶富贵典雅气象。蜜蜂逐花而至，蛱蝶上下翻飞，为画面增添了动感。花瓣、叶片的勾染皆极为精工，花心用白粉点染，立体感很强，望似凸出于绢素之上。画史称作者“描染精邃，远过流辈”，信是不虚。对幅有清乾隆御题诗：“趋炎殊众卉，放英独于秋。舞去风全香，承来露半流。绘者具神解，渊明晤庄周。”钤“八征耄念之宝”朱文印、“自强不息”白文印。存《四朝选藻》册中。《石渠宝笈续编》著录。
马远水图卷,南宋,http://www.dpm.org.cn/Uploads/Picture/2017/03/31/s58de1136057ad.jpg,山水,马远,《水图》卷，南宋，马远绘，绢本，淡设色，共十二段，每段纵26.8厘米，横41.6厘米。《水图》共有十二段。除第一段因残缺半幅而无图名外，其余图名分别是：“洞庭风细”、“层波叠浪”、“寒塘清浅”、“长江万顷”、“黄河逆流”、“秋水回波”、“云生沧海”、“湖光潋滟”、“云舒浪卷”、“晓日烘山”、“细浪漂漂”。这十二段作品，专门画水，除个别幅有极少岩岸之外，其它没有任何别的景色，完全通过对水的不同姿态的描写，表现出种种不同的意境。作者对水观察的细致入微，以及创造出来的形态美感和笔墨技能，都令人惊叹不已。如“洞庭风细”，波浪如鳞，不激不怒，近大远小以至于水天一色，彷佛觉得微风习习，轻轻掠过了那开阔的湖面，使人心旷神怡，宠辱皆忘。“层波叠浪”是以颤抖的笔法，描写浪涛的起落，彷佛其下有蛟龙蛰伏。那汹涌澎湃的气势，使人精神振奋而感到豪壮。“湖光潋滟”一幅，画家以轻快流畅的笔法，画出水波的跳动，浪峰无规则的排列，显然受到乱风的吹荡，即使画家不染上红色，也使观者感到阳光明媚，不由得想起“湖光潋滟晴偏好”的杭州西湖景象来。“云舒浪卷”一幅，却又是另外一番境界。画家以凝涩的笔触，画出一个浪头，它彷佛咆哮着要腾空而起，天空中黑云滚动，与水相接，更增加有如冲锋陷阵的气概。画面虽小，而气魄宏大壮观。其它各幅，都各有不同的笔法特点和意境，就留待读者自己体会。
女孝经图卷,南宋,http://www.dpm.org.cn/Uploads/Picture/2017/03/31/s58de127436595.jpg,人物,未知,《女孝经图》卷，宋，绢本，设色，纵43.8厘米，横823.7厘米。无作者款印。钤清“曹溶秘玩”及清乾隆、嘉庆、宣统内府收藏印，共10方。作者以图解的形式分9段表现唐代邓氏《女孝经》前九章的内容，依次为：一、开宗明义章，二、后妃章，三、三才章，四、贤明章，五、事舅姑章，六、邦君章，七、夫人章，八、孝治章，九、庶人章。每段图后均有墨题《女孝经》原文与之对应。图中人物的衣纹为铁线描，线条匀细，富有弹性，在准确地勾画出人物的行为动态的同时，亦展示出自身的精练并具轻重急缓的节奏美。树叶为笔法工整的双勾填色，枝叶相互叠加，既有层次感又不失之于琐碎，显示出作者细致的观察能力与写实功力。画面以深棕色为主调，配以白、墨绿、青灰等冷色调，使得画面于高古典雅中见清新活泼，于深沉凝重的氛围中具浪漫的人间风情。中国人物画的创作目的之一是强调绘画的政治教化功能。唐代张彦远在《历代名画记》中曾明确指出“画者，成教化，助人伦，穷神变，测幽微，与六籍同功，四时并运者也”。现存最早的以画卷形式宣传女德、女诫教义的作品当属东晋顾恺之（传）创作的《女史箴图》、《列女仁智图》。《女孝经》作为绘画的表现题材，早在五代后蜀后主孟昶执政时期，就被画家石恪精心创作。据宋代内院奉敕编撰的《宣和画谱》记载，当时，石恪依据《女孝经》内容仅绘制了8幅图，可惜其作品未能流存于世。此幅由南宋佚名画家创作的《女孝经图》，便成为目前保存最好、时代最早的反映《女孝经》内容的代表作。此图卷以其较高的艺术造诣向世人展示了宋代仕女画成熟的风貌。每幅图依据表现内容的不同形成各自独立的画面，同时作者利用人物的造型、服饰及统一的笔墨形式又使各图之间既相对独立又彼此联系呼应，从而达到了形散而神聚的艺术效果。此图卷中重点表现的对象是三五成群的仕女，她们挽高髻，饰簪花，面形长圆而丰满，尚存唐代仕女画的面形特征，但形体上已没有了唐代仕女臃肿艳肥的体态，而显露出向明清仕女画修长秀美体形过渡的趋向。她们身材的曲线美被作者加以充分表现，细腰纤手，婀娜轻盈。人物的神态皆雍容大方，端庄娴静，动作举止亦守规守矩，从而生动地图解了母仪、贤明、仁智等封建妇女必须遵守的言行准则。作者在处理人物与环境的关系上十分成功，穿插于人物中的树木枝繁叶茂，数量虽然不多，但作为人物活动的衬景构筑出了淡泊宁静的自然环境，从而丰富了人物活动的空间，并令用于说教的画面增添了生趣。而具良好德行的贤妇烈女们在树下谈经论道或勤于女红，又为这清幽的境地增添了几分崇高的意趣。此图旧传为唐人画作，但据其谨细缜密的画风和图中所陈设的器物的造型、装饰等，当出自南宋画院画家之手笔。清内府《石渠宝笈初编》著录。
李嵩钱塘观潮图卷,南宋,http://www.dpm.org.cn/Uploads/Picture/2017/04/01/s58def929518fb.jpg,山水,李嵩,《钱塘观潮图》卷，南宋，李嵩绘，绢本，设色，纵17.4厘米，横83厘米。本幅无款印。引首及前后隔水有清乾隆题诗，后幅有张仁近、杨基题跋。收藏印有项子京、清内府、梁清标诸印。少年时曾作过木工的画院画家李嵩是善画建筑的高手。台北故宫博物院收藏的李嵩所绘《月夜看潮图》页是对南宋官式建筑的风格和细部特点的忠实写真，而此卷则带有缘物抒情的感情色彩，展现了李嵩的其另一种建筑画风。每年农历八月十六至十八日为浙江钱塘江的大潮汐期。自南宋迁都临安（今浙江杭州）后，观潮成为临安一年一度的盛大活动。其时海水沿喇叭形的钱塘江口逆江而上，如“玉域雪岭，际天而来，大声如雷霆，震撼激射，吞天沃日，势极雄豪”。此幅画面除表现滔滔的江水，即写“大内临江起飞阁”的都城临安。耐人寻味的是作者并没有以其擅长的细腻精微的表现手法再现皇家殿宇的巍峨辉煌、临安城池的雄伟整饬、“岁岁观潮乐”的繁华热烈，而只以简括的笔法写出成片的半露瓦顶于薄雾树影之中朦胧隐现，茂林中三面围墙的宽大空场或许即南宋的宫室所在，意境颇显空寂。作者活动的年代，正值南宋时局动荡，国家面临内忧外患，而小朝廷又沉湎于“钱塘江上开皇畿”，“贪看秋潮忘黍离”的耽乐奢靡。身为画院待诏得以侍于君侧的李嵩忠君忧国而又无力回天的孤寂心境在画面中似有曲折流露。
马和之诗经·小雅·节南山之什图卷,南宋,http://www.dpm.org.cn/Uploads/tupianyingxiang/null-新00147403-赵构书马和之画小雅节南山之什卷-全卷_2017414212811.jpg,人物,马和之,"《诗经·小雅·节南山之什图》卷，南宋，传为马和之作，绢本，设色，纵26.2厘米，横857.6厘米。此卷取《诗经·小雅》中《节南山》等十篇之大意描绘成图，每段前书《诗经》原文，依次为《节南山》、《正月》、《十月之交》、《雨无正》、《小旻》、《小宛》、《小弁》、《巧言》、《何人斯》、《巷伯》。书画均无款印，旧传宋高宗赵构书文，马和之作画。马和之是一位山水、人物、花鸟全能的画家，人物画的线条吸收了唐吴道子用笔飞动流畅的特点，下笔重而出笔轻，是典型的""兰叶描""法，线条组织松散，给人以清俊闲雅之感。《诗经》作为儒家经典，一直备受封建统治者的推崇，此卷以图画形式使诗歌的内容形象化，藉此宣传儒家礼教。"
陈居中四羊图页,南宋,http://www.dpm.org.cn/Uploads/Picture/dc/27496.jpg,花鸟,陈居中,"《四羊图》页，南宋，陈居中作，绢本，设色，纵22.5厘米，横24厘米。这是南宋画家陈居中创作的一幅极为生动的动物画。在很小的尺幅上，画家选取了一个日常的景象，在村郊野外的小土坡上，牧羊人正在小憩，两只白色的小山羊打闹嬉戏，一只似是占到了便宜，惹得另一只发火地低头撞来，另一只毛色略重的老羊似欲走来制止，又一只则立于土坡之上，沉静地俯视着下面所发生的一切。四只羊的组合仿佛是一个家庭，母亲正在看管着孩子，父亲则高高在上，保持着一家之主的威严，画家将动物之间的情爱描写得十分真实，又富有人世的生活意趣。在置景上力求简单明快，土坡只以墨笔勾出轮廓，略加擦染，几株小草与荆棘也安排得很疏阔，画面左上角画一株老干，侧生一棵新枝。画家亦注重细节的刻画，如立于树干上的两只小山雀，俯首观看，形态生动。全图无论是写物、写景，皆突出了一个“动”字，生活气息极为浓厚。图中山羊的形态描绘准确，体现了画家深厚的写生功底，如小山羊跳跃、抵撞的姿态，老山羊前蹄收缩、双耳上竖的细部动作，甚至翻转的双角，均表现得一丝不苟，体现了宋代院体绘画精工细致、刻划入微的风格特征。全图毫无板滞之气，画家抓住表现对象的主要特征，舍弃琐碎的细节，运用不多的笔墨和写意的手法追求言简意赅的艺术效果。此画在构图上受时代流风的影响，采用南宋院体山水的边角式布局法。画面以斜对角式区分，左下部分为全部景物，右上部分则全部留白，将所要表现的物体加以集中，使狭小的尺幅产生一定的空间感，虚实对比更加鲜明，以此增强画面的吸引力。在中国古代文字中，“羊”字与“祥”、“阳”相通，“吉祥”在古文中就写作“吉羊”；又《易经》中谓每年正月卦象为三阳在下，三阴在上，故古人称每年正月为""三阳开泰""之时，此成语也就成了常用的吉祥语。这幅画表现的四羊即寓意三阳在下，一阳在上，反映了祈盼吉祥如意的美好愿望。陈居中最擅长人马画，但对动物写生一类题材也很热衷，并刻画得细致生动，这幅带有吉祥寓意的《四羊图》页即代表了他在这一方面的艺术水平。"
马和之鹿鸣之什图卷,南宋,http://www.dpm.org.cn/Uploads/Picture/2017/04/01/s58def995f0865.jpg,人物,马和之,《鹿鸣之什图》卷，南宋，马和之作，绢本，设色，纵28厘米，横864厘米。此卷是南宋著名画家马和之创作的《诗经》系列画作品中的一卷。全卷书、画共10段，每段前小楷书《诗经》原文，文后为图。首段开头书“鹿鸣之什”四字，末段书三首诗名及小序，末又书“鹿鸣之什十篇”。第一段：鹿鸣　　画面上一所豪华的宫殿中华灯盛宴，一王者相貌之人踞坐殿中，嘉宾与臣下列坐两侧，以突出王者宴嘉宾臣下之意。殿外丹墀之下内侍环立，乐工鼓琴奏乐，以乐君臣。右侧是高大的树木与叠起的云霭，仿佛形成一道屏风，将画面自然隔开，表现群鹿于山谷之中，或鸣，或奔，或低首觅食，各具姿态。全图紧扣宴乐嘉宾之中心，表现得浅显而明了，使人易于理解其深刻的含意。第二段：四牡　　《四牡》一章是在慰劳外国使臣时演唱的。此段描绘外国使臣来朝路上的情节。画面上一辆四驾马车左行，一人手持节旄端坐车中，四名仆从于车前挽辔而行，车后一人跟随。衬景仅绘一丛树木，表现出路途的荒凉与使臣远行的艰辛。图中主要人物面部表情并不欢愉，而是略带一丝忧愁，这正与诗中“周道倭迟，岂不怀归”的人物心情之刻画相契合，但“王事靡艰，我心伤悲”，主人公又表现出一种为了国家、王事而心忧的复杂情愫。第三段：皇皇者华　　此段绘山间路上一辆四匹马驾的车正逶迤行进，与前段人物的运行方向相反，为自左向右行。诗序云：“皇皇者华，君遣使臣也，送之以礼乐，言远而有光华也。”一人手挽缰绳坐于车中，车旁一随从手擎使臣所用之节旄，仆从各携不同物品跟随于马车前后。此段表现使臣奉王命出行的场面。四周草木丛杂，山谷幽深，山间小溪流淌，通过环境的描绘表现出使臣为国事奔走的艰辛劳瘁之状。第四段：常棣此段绘坡岸上三人立于水畔，形貌几乎相同，似表现兄弟三人正在观看水中的植物。水中植物亦为三株，错落生长，或即为常棣之木。封建社会讲究孝悌，悌指兄弟和睦，此诗此图意皆在此。《常棣》诗云：“兄弟既翕，和乐且湛，宜尔家室，乐尔妻帑。……”古人谓“齐家治国”，兄弟和睦方能齐家，故此乃治国的前提条件。第五段：伐木此段绘山高草深，林木茂盛，山谷间二人手执利斧，在一株较矮小的树下作砍伐状。二人视线均集于树上的一只栖鸟身上，以扣紧“出自幽谷，迁于乔木”之主题。此段画面较为平直，而诗中的引申之意则未加表现。第六段：天保　　此段画面绘高山峻岭，乔松挺秀，碧海翻波，祥云瑞霭，红日初升于水上，皎月掩映于峰峦之间，光华耀人。诗中末段云：“群黎百姓，编为尔德，如月之恒，如日之升，如南山之寿，不蹇不崩，如松柏之茂，无不尔或承。”此诗意在表示王权天授，江山如松柏之不凋，如南山之不崩，如日月之永恒，以祈江山永固。此段所录诗中“恒”字缺最后二横笔，避宋真宗赵恒讳。第七段：采薇此段图绘山林间一队车马右向奔驰，驾车之马皆着甲胄。旌旗冽冽随风飘舞，马蹄声声踏破了山间的宁静。画面上只画出7人8马，但山坡顶部扬起的数杆旗帜却令人有千军万马随之而来的感觉。诗中一再强调戍边将士远离家园、忍饥挨冻都是边患未靖之故，鼓励将士为国出力，抵御外侮，勤劳王事。这一点在南宋初年亦是极具现实意义的。第八段：出车 此段描绘王者乘车出郊慰劳戍边而还的将士之场面。诗云：“我出我车，于彼牧矣，自天子所，谓我来矣。”画面上五乘车马左行，甲胄整齐，兵刃森森，军旗飘扬。此图以人物车马为主，衬景仅是边角上点缀几丛杂树，远处山丘隐现。第九段：杕杜图绘山林间茅屋隐现，小路上一妇人提篮远眺，在祈盼逾期未归的丈夫。远处山顶旗帜隐现，寓征夫将还之意。第十段：鱼丽　　此段绘池塘中二人划一小舟，肩扛捕获的鱼向岸边而来，岸上二人正在指点谈论。此段意在表现政权安定后物阜民丰，然“始于忧勤，终于逸乐”，故需取之有时的为政思想，对统治者施政有一定的劝戒寓意。马和之抓住原诗中的某一个细节，发挥自己的主观想象，以浅显易懂的绘画语言绘制出号称三百篇的《诗经》插图，在绘画创作上堪称浩大的工程。马和之创作《诗经图》历经高宗、孝宗二朝。据《绘事备考》载：“高宗尝以毛诗三百篇诏和之图写，未及竣事而卒。”后由孝宗继其事，仍令和之补图。《鹿鸣之什》卷见于《绘事备考》记载，可知创作于高宗朝。然马和之《诗经图》问世不久即出现摹本、临本，存世至今约16卷，风格、水平不一，显然有真迹、摹本、仿作之分。今观是卷，绘画简逸流动，属马和之典型的“蚂蝗描”，书法端庄萧洒，为高水平的高宗书体，书画均属真迹，是极难得的存世赵书马画合璧真迹。
马和之豳风图卷,南宋,http://www.dpm.org.cn/Uploads/Picture/2017/03/31/s58de111df1552.jpg,人物,马和之,《豳风图》卷，南宋，马和之作，绢本，设色，纵25.7厘米，横55.7厘米。作者根据《诗经·国风》之《豳风》诗意而作。全卷共分七段，依次为《七月》、《鸱鸮》、《东山》、《破斧》、《伐柯》、《九罭》、《狼跋》，每段画前书《豳风》原文。图中人物形象生动，衣纹用兰叶描，笔法流畅潇洒，设色清丽古雅，在诸本毛诗图中，亦属精作。此卷无款印，旧传为马和之画，宋高宗赵构书。但在《伐柯》篇内“構”字因避高宗讳而缺一笔，如“”，说明该书不是赵构所写，而是画院高手代笔。此图大约在元代初年被分割为两卷，仅《破斧》篇为赵孟頫收藏，明末董其昌误认为是赵孟頫补图。清乾隆年间两卷入内府，合璧装成一卷，并将董其昌、高士奇跋移往后幅。卷首有清高宗弘历御书“苇龠余风”四字，尾纸除董其昌、项元汴等三则题记外，尚有乾隆御题一则，钤明项元汴、清高士奇、梁清标及乾隆、嘉庆、宣统内府藏印多方。张丑《清河书画舫》、卞永誉《式古堂书画汇考》、吴升《大观录》、《石渠宝笈·续编》、《石渠随笔》等书著录。
李嵩货郎图卷,南宋,http://www.dpm.org.cn/Uploads/Picture/2017/03/31/s58de10c46e445.jpg,人物,李嵩,《货郎图》卷，南宋，李嵩作，绢本，设色，纵25.5厘米，横70.4厘米。本幅款署：“嘉定辛未李從順男嵩畫。”另有清乾隆帝御题七言诗一首。这是一幅人物风俗画卷，画面上货郎肩挑杂货担，不堪重负的弯着腰，欢呼雀跃的儿童奔走相告，喜悦之情溢于言表。货担上物品繁多，不胜枚举，从锅碗盘碟、儿童玩具到瓜果糕点，无所不有。在商品流通尚不够发达的南宋时期，货郎们走街串巷，一副货担就是一个小小的百货店，货郎们不仅为偏僻的乡村带来所需的货物，也带来各种新奇的见闻，货郎的到来往往象节日般热闹，李嵩在图中就描绘了这样一幅场景。画家借助货郎这一题材表现了南宋市井生活的一个侧面，那些令人眼花缭乱的物品，虽然今天有很多已不明其用途，但却真实地记录了南宋百姓的生活方式，是民俗学家不可多得的珍贵史料。画面中人物的塑造主要依靠线描勾勒，细秀的笔划辅以淡雅的设色，使画面古朴沉着。人物动态鲜明，无一雷同，显示出画家的写实功底。繁而不乱的货物描绘得一丝不苟，更显示了李嵩“尤长界画”的技巧。《石渠宝笈·初编》著录。
法常水墨写生图卷,南宋,http://www.dpm.org.cn/Uploads/Picture/2017/03/31/s58de19772226d.jpg,花鸟,法常,《水墨写生图》卷，南宋，法常作，纸本，水墨，纵47.3厘米，横814.1厘米。法常的绘画，有不少取材于平时人们司空见惯的日常生活，但独能于平淡天真之中揭示生命意识的真谛。此卷所绘折枝花果、禽鸟、鱼虾及蔬果，笔墨简淡，平平常常，在画幅上随随便便地摆放在一起，看来就是最为常见的与我们现实生活息息相关的景象，但是卷中墨色的氤氲、排列的错综、变化的神奇，却又分明深蕴着禅机。这些平常物象的背后是不着笔墨的大片空白，这种“知白守黑”、“计白当黑”的处理，使得画面中本不相关联的事物各自相对独立又可合而为一，画意更为完整而富于张力，给观者以想象的空间，正所谓“于无画处皆成妙境”。整幅作品充满着一种宁静、自省、淡泊的内在精神，使观者有“万物静观皆自得”的会心感受，耐人寻味。牧溪的绘画，写生功底极深，此幅亦是“肖似形类，并得其意”（项元汴语）的形神兼备之作。沈周卷后题识称：“不施色彩，任意潑墨，儼然若生。回視黃筌、舜舉之流，風斯下矣。”本幅无作者款印，沈周定为“真宋物也”。徐邦达先生认为，沈周题跋中“牧”字有挖改痕迹，是“似牧非牧之画”。
赵孟坚墨兰图卷,南宋,http://www.dpm.org.cn/Uploads/Picture/2017/03/31/s58de16b06f3a8.jpg,花鸟,赵孟坚,《墨兰图》卷，宋，赵孟坚作，纸本，淡墨，纵34.5厘米，横90.2厘米。本幅款署“彜齋趙子固仍賦”。钤“子固寫生”一印。墨兰是赵孟坚善画的题材。画面上绘墨兰二株，呈放射状的长叶参差错落，分合交叉，俯仰伸展。自题诗曰：“六月衡湘暑氣蒸，幽香一噴冰人清。曾將移入浙西種，一歲才華一兩莖。”诗中表露了作者孤高脱俗的思想境界。图中运笔柔中带刚，花朵及兰草叶均一笔点划，土坡用飞白笔轻拂，略加点苔。兰叶皆用淡墨，花蕊墨色微浓，变化含蓄，形成墨色对比。画虽为水墨，但格调高雅，“远胜着色”。其好友周密曾云：“赵孟坚墨兰最得其好，其叶如铁花，茎亦佳，……前人无此作也。”清卞永誉《式古堂书画汇考》、吴升《大观录》、安岐《墨缘汇观》、吴修《青霞馆论画绝句》等书著录。
马麟层叠冰绡图轴,南宋,http://www.dpm.org.cn/Uploads/Picture/dc/27480.jpg,山水,马麟,《层叠冰绡图》轴，南宋，马麟作，绢本，设色，纵101.7厘米，横49.6厘米。本幅款署“臣馬麟”。另有宋杨皇后题图名“層疊冰綃”，并题诗：“渾如冷蝶宿花房，擁抱檀心憶舊香。開到寒梢尤可愛，此般必是漢宮妝。賜王提舉。”钤：“丙子坤寧寶”、“楊姓之章”。图中所画两枝梅花据称为绿萼梅，是梅花中的名贵品种。枝干细秀劲挺，花朵繁密俏媚，皆以双勾填色法绘之。画法精细，层次鲜明，枝干的转折，花朵的向背，处理得面面俱到。花瓣外沿和背面又厚施白粉加以强调，将梅花冰清玉洁、如纱似绢的姣美形象表现得极其完美。杨皇后“层叠冰绡”四字的形容恰如其分，且极富诗意，亦为此图增色不少。《真赏斋赋注》著录。
赵孟頫葵花图轴,元,http://www.dpm.org.cn/Uploads/File/2018/05/24/15271508928036.jpg,花鸟,赵孟頫,《葵花图》轴，元，赵孟頫绘，纸本设色，纵31厘米，横23.8厘米，故宫博物院藏。本幅自题：“子昂写生。”钤“赵氏子昂”朱文印。鉴藏印：“玉堤”朱文印，“兰陵龚策书画藏印”朱文印。赵孟頫提倡作画贵有古意，对唐至北宋的绘画风格多有摹仿。此图即采用五代西蜀黄筌父子的“黄体”——勾勒填彩的画法，线条细劲，敷色明净。因从现实生活中“写生”而来，秋葵姿态生动，比“黄体”更富有生机。此图画面简洁，笔法细润，风韵高雅，体现了赵氏所追求的古意与高华，是其早年花鸟画的代表作品。
赵孟頫人骑图卷,元,http://www.dpm.org.cn/Uploads/Picture/2017/10/31/s59f7d254da425.jpg,人物,赵孟頫,《人骑图》卷，元赵孟頫绘，纸本设色，纵30厘米，横52厘米。《石渠宝笈续编》著录 贮淳化轩七玺全本幅绘一戴官帽腰系玉带的红袍青年男子骑于马背之上，男子微有髭须，左手牵缰，右手持鞭，右脚轻踩马镫，神态优雅自足。马匹孔健有力，左前蹄微起，呈行进之势。画面布局、人物形象和马匹写实画法，都深受唐代画马图影响。此图元代收藏情况不明。赵孟頫弟赵孟籲在作于大德三年（1299年）的题跋中说“每一展卷，不能去手”，此卷似曾经其收藏。赵孟頫孙赵麟至正二十六年（一三六六）的题跋显示，元末此卷藏于平江（今苏州）城内。入明后，有安国、袁梦鲤、项元汴等人收藏印记。明清之际入王时敏之手，又经其子康熙朝大学士王掞收藏，后入清内府。此卷汇集了赵孟頫弟赵孟籲、侄赵由辰、子赵雍和赵奕、孙赵麟赵氏家族五人的题跋，在赵孟頫的书画作品中并不多见。后隔水自题一段，又有赵孟籲、赵雍、赵奕、赵由辰、赵麟、倪渊、宇文公谅、也先溥化、程郇、陈润祖、何颐贞、释文信、朱景渊、清乾隆帝等题跋。有安国、袁梦鲤、项元汴、王时敏、王掞等收藏印记。著录于《寓意编》《穰梨馆过眼录》。
钱选幽居图卷,元,http://www.dpm.org.cn/Uploads/Picture/2018/03/12/s5aa5d1cdb67f7.jpg,山水,钱选,"《幽居图》卷，元，钱选作，纸本，设色，纵27厘米, 横115.9厘米。此图是钱选所绘的青绿山水画作之一。图中湖光山色静谧幽淡，展卷之始见三五秀石零落坡边岸角，青松虬曲其上，村居掩映树石之间，一叶小艇驶向水平如镜的湖中，对岸碧峰起伏，参差错落，楼阁为茂林所环抱，茅舍隐现丛树兀石之后，幽居之景、之境、之情、之趣毕现于纸上。其画山石树木皆用方折的线条勾出轮廓，不作皴法，敷以青、绿、赭等色，山脚处略施金粉，于严整工致中见古拙秀逸之气。图的右上方自题“幽居图”三字，其中“幽”字残缺严重，形近“山”字，故亦被称作“山居图”。本幅及前后隔水有“怡亲王宝”等印共29方，尾纸上有纪仪、纪堂、高士奇、邵松年等人的题跋。钱选的山水画以青绿设色为主，近师南宋赵伯驹，远溯杨隋展子虔、李昭道，运笔有生拙之趣，设色明快不失艳丽，布局张弛得度，疏密有致，自成风貌。我院另藏《山居图》一卷，虽与《幽居图》构图相异，但笔法、设色同出一源，两者堪为“双璧”。《浮玉山居图》卷（藏上海博物馆）则是钱选以水墨为主的代表作，卷中山石的阴阳向背用墨笔勾皴来表现，花青淡施丛树小草之上，清逸秀润之气溢出卷外，别具一格，与其青绿山水有异曲同工之妙。论成就，钱选跳出两宋院体的窠臼，追求晋唐作风，在元初画坛独树一帜，对开创一代画风起了积极的作用。然而，由于赵孟頫与“元四家”的山水画更符合文人重笔墨、尚意趣的审美观念，和他们相比，钱选对后世的影响便略逊一筹了。"
